"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that comment bodies are not empty.","96","test_comment_body_not_empty","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
"Test that different comments have consistent structure.","95","test_different_comments_structure[5]","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
"Test that all comment emails contain @ symbol.","91","test_comments_emails_contain_at_symbol[1]","tests","2026-01-19","passed","2026-01-19","TestCommentsEmailValidation","test_comments","",""
"Test getting comments for a post returns 200 and valid data.","463","test_get_post_comments_success","tests","2026-01-19","passed","2026-01-19","TestGetPostComments","test_comments","",""
"Test that each user ID returns a unique user.","98","test_each_user_has_unique_id[7]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that multiple posts have associated comments.","90","test_multiple_posts_have_comments[2]","tests","2026-01-19","passed","2026-01-19","TestCommentsPostsRelationship","test_comments","",""
"Test that each user ID returns a unique user.","96","test_each_user_has_unique_id[5]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test getting posts filtered by user ID.","92","test_get_posts_by_user[3]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test getting all posts returns 200 and valid data.","95","test_get_all_posts_success","tests","2026-01-19","passed","2026-01-19","TestGetAllPosts","test_posts","",""
"Test that each user ID returns a unique user.","97","test_each_user_has_unique_id[9]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test user company has correct structure.","97","test_user_company_structure","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that different comments have consistent structure.","98","test_different_comments_structure[10]","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
"Test that all comments have valid email addresses.","95","test_all_comments_have_valid_emails","tests","2026-01-19","passed","2026-01-19","TestCommentsEmailValidation","test_comments","",""
"Test getting different posts by ID.","92","test_get_different_posts[5]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test getting user by ID returns 200 and valid data.","98","test_get_user_by_id_success","tests","2026-01-19","passed","2026-01-19","TestGetUserById","test_users","",""
"Test that multiple posts have associated comments.","91","test_multiple_posts_have_comments[1]","tests","2026-01-19","passed","2026-01-19","TestCommentsPostsRelationship","test_comments","",""
"Test getting post by ID returns 200 and valid data.","92","test_get_post_by_id_success","tests","2026-01-19","passed","2026-01-19","TestGetPostById","test_posts","",""
"Test that all comment emails contain @ symbol.","93","test_comments_emails_contain_at_symbol[2]","tests","2026-01-19","passed","2026-01-19","TestCommentsEmailValidation","test_comments","",""
"Test that different comments have consistent structure.","96","test_different_comments_structure[100]","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
"Test that multiple posts have associated comments.","91","test_multiple_posts_have_comments[3]","tests","2026-01-19","passed","2026-01-19","TestCommentsPostsRelationship","test_comments","",""
"Test that each user ID returns a unique user.","97","test_each_user_has_unique_id[10]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that each user ID returns a unique user.","97","test_each_user_has_unique_id[3]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that all comment emails contain @ symbol.","92","test_comments_emails_contain_at_symbol[3]","tests","2026-01-19","passed","2026-01-19","TestCommentsEmailValidation","test_comments","",""
"Test updating post returns 200 and updated data.","192","test_update_post_success","tests","2026-01-19","passed","2026-01-19","TestUpdatePost","test_posts","",""
"Test that all users have valid email addresses with proper format.","96","test_user_email_validation","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that each user ID returns a unique user.","95","test_each_user_has_unique_id[2]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test getting posts filtered by user ID.","94","test_get_posts_by_user[2]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test getting different posts by ID.","92","test_get_different_posts[10]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test getting posts filtered by user ID.","92","test_get_posts_by_user[1]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test that comments have all required fields.","95","test_comment_required_fields","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
"Test that multiple posts have associated comments.","92","test_multiple_posts_have_comments[5]","tests","2026-01-19","passed","2026-01-19","TestCommentsPostsRelationship","test_comments","",""
"Test creating new post returns 201 and contains sent data.","374","test_create_post_success","tests","2026-01-19","passed","2026-01-19","TestCreatePost","test_posts","",""
"Test that different comments have consistent structure.","98","test_different_comments_structure[50]","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
